ECE 0301: Time-Domain Signal Samples 
The number of samples is 201
The sample rate is 1000
The initial time is -0.05
Here is your signal: 
t, s(t)
-0.05, -1
-0.049, -2
-0.048, -2
-0.047, -2
-0.046, -2
-0.045, -2
-0.044, -2
-0.043, -3
-0.042, -3
-0.041, -3
-0.04, -3
-0.039, -3
-0.038, -3
-0.037, -3
-0.036, -3
-0.035, -3
-0.034, -3
-0.033, -3
-0.032, -3
-0.031, -3
-0.03, -3
-0.029, -3
-0.028, -3
-0.027, -3
-0.026, -3
-0.025, -3
-0.024, -2
-0.023, -2
-0.022, -2
-0.021, -2
-0.02, -2
-0.019, -2
-0.018, -1
-0.017, -1
-0.016, -1
-0.015, -1
-0.014, -1
-0.013, -0
-0.012, -0
-0.011, 0
-0.01, 0
-0.009, 1
-0.008, 1
-0.007, 1
-0.006, 1
-0.005, 1
-0.004, 2
-0.003, 2
-0.002, 2
-0.001, 2
0, 2
0.001, 2
0.002, 2
0.003, 3
0.004, 3
0.005, 3
0.006, 3
0.007, 3
0.008, 3
0.009, 3
0.01, 3
0.011, 3
0.012, 3
0.013, 3
0.014, 3
0.015, 3
0.016, 3
0.017, 3
0.018, 3
0.019, 3
0.02, 3
0.021, 2
0.022, 2
0.023, 2
0.024, 2
0.025, 2
0.026, 2
0.027, 1
0.028, 1
0.029, 1
0.03, 1
0.031, 1
0.032, 0
0.033, 0
0.034, 0
0.035, -0
0.036, -0
0.037, -1
0.038, -1
0.039, -1
0.04, -1
0.041, -1
0.042, -2
0.043, -2
0.044, -2
0.045, -2
0.046, -2
0.047, -2
0.048, -3
0.049, -3
0.05, -3
0.051, -3
0.052, -3
0.053, -3
0.054, -3
0.055, -3
0.056, -3
0.057, -3
0.058, -3
0.059, -3
0.06, -3
0.061, -3
0.062, -3
0.063, -3
0.064, -3
0.065, -3
0.066, -2
0.067, -2
0.068, -2
0.069, -2
0.07, -2
0.071, -2
0.072, -2
0.073, -1
0.074, -1
0.075, -1
0.076, -1
0.077, -1
0.078, -0
0.079, -0
0.08, 0
0.081, 0
0.082, 1
0.083, 1
0.084, 1
0.085, 1
0.086, 1
0.087, 2
0.088, 2
0.089, 2
0.09, 2
0.091, 2
0.092, 2
0.093, 2
0.094, 3
0.095, 3
0.096, 3
0.097, 3
0.098, 3
0.099, 3
0.1, 3
0.101, 3
0.102, 3
0.103, 3
0.104, 3
0.105, 3
0.106, 3
0.107, 3
0.108, 3
0.109, 3
0.11, 3
0.111, 3
0.112, 2
0.113, 2
0.114, 2
0.115, 2
0.116, 2
0.117, 2
0.118, 1
0.119, 1
0.12, 1
0.121, 1
0.122, 1
0.123, 0
0.124, 0
0.125, -0
0.126, -0
0.127, -0
0.128, -1
0.129, -1
0.13, -1
0.131, -1
0.132, -1
0.133, -2
0.134, -2
0.135, -2
0.136, -2
0.137, -2
0.138, -2
0.139, -3
0.14, -3
0.141, -3
0.142, -3
0.143, -3
0.144, -3
0.145, -3
0.146, -3
0.147, -3
0.148, -3
0.149, -3
0.15, -3
